행정구역_수정,위도,경도
강원도 강릉시,37.74614064,128.8878265
강원도 고성군,38.3788501,128.4598833
강원도 동해시,37.51339076,129.0967985
강원도 삼척시,37.33068541,129.1259228
강원도 속초시,38.19672038,128.5806532
강원도 양구군,38.15087105,128.0103158
강원도 양양군,38.04453041,128.640511
강원도 영월군,37.20105242,128.470663
강원도 원주시,37.32598625,127.92324
강원도 인제군,38.03738202,128.2132949
강원도 정선군,37.36626723,128.7378922
강원도 철원군,38.23899859,127.3451202
강원도 춘천시,37.87885664,127.7272167
강원도 태백시,37.17001684,128.9945441
강원도 평창군,37.49389306,128.4581522
강원도 홍천군,37.71971886,127.9330552
강원도 화천군,38.10924058,127.6805521
강원도 횡성군,37.50979985,128.0598336
경기도 가평군,37.781494,127.4516809
경기도 고양시,37.66688003,126.8041928
경기도 과천시,37.43239419,126.9963983
경기도 광명시,37.46316304,126.864132
경기도 광주시,37.40241405,127.29787
경기도 구리시,37.60379573,127.1339631
경기도 군포시,37.3499313,126.9304754
경기도 김포시,37.67325884,126.6285922
경기도 남양주시,37.65408323,127.2320581
경기도 동두천시,37.9120392,127.0619057
경기도 부천시,37.50049318,126.7866532
경기도 성남시,37.4201244,127.1323354
경기도 수원시,37.27635437,127.0151827
경기도 시흥시,37.39378906,126.7977865
경기도 안산시,37.30966224,126.8081455
경기도 안성시,37.02604727,127.2835418
경기도 안양시,37.39556873,126.9362101
경기도 양주시,37.82028743,127.0087714
경기도 양평군,37.50321016,127.5534587
경기도 여주시,37.30485142,127.6040042
경기도 연천군,38.05808148,127.0095713
경기도 오산시,37.15650487,127.0553096
경기도 용인시,37.26751625,127.1503018
경기도 의왕시,37.35708359,126.9770145
경기도 의정부시,37.73757322,127.0612581
경기도 이천시,37.22158338,127.4778676
경기도 파주시,37.83586669,126.8053702
경기도 평택시,37.01815951,127.0145209
경기도 포천시,37.93535745,127.2232244
경기도 하남시,37.52870922,127.194767
경기도 화성시,37.1719084,126.8930734
경상남도 거제시,34.88278918,128.624731
경상남도 거창군,35.71811418,127.9131119
경상남도 고성군,35.01815386,128.2897887
경상남도 김해시,35.25885716,128.8409669
경상남도 남해군,34.83519557,127.9299344
경상남도 밀양시,35.48442683,128.7550271
경상남도 사천시,35.03302567,128.0470435
경상남도 산청군,35.38445352,127.901138
경상남도 양산시,35.38559332,129.0581058
경상남도 의령군,35.38927756,128.2797646
경상남도 진주시,35.19880921,128.1294449
경상남도 창녕군,35.50903072,128.4825268
경상남도 창원시,35.20708918,128.6222013
경상남도 통영시,34.82889622,128.3948717
경상남도 하동군,35.10416298,127.8002635
경상남도 함안군,35.29486258,128.4258189
경상남도 함양군,35.54394899,127.7373261
경상남도 합천군,35.57224099,128.163808
경상북도 경산시,35.83763753,128.804835
경상북도 경주시,35.82742803,129.2537911
경상북도 고령군,35.73457972,128.308795
경상북도 구미시,36.19095805,128.348928
경상북도 군위군,36.17733154,128.6378066
경상북도 김천시,36.07974804,128.0924894
경상북도 문경시,36.66142278,128.1765187
경상북도 봉화군,36.90611622,128.8546222
경상북도 상주시,36.4277668,128.0995132
경상북도 성주군,35.90567841,128.2533425
경상북도 안동시,36.5866042,128.7413037
경상북도 영덕군,36.46111817,129.3435531
경상북도 영양군,36.66102479,129.1252448
경상북도 영주시,36.84817003,128.5971631
경상북도 영천시,35.98842572,128.9405058
경상북도 예천군,36.64958318,128.4148433
경상북도 울릉군,37.48152393,130.9372944
경상북도 울진군,36.89677973,129.3711974
경상북도 의성군,36.35623816,128.5912782
경상북도 청도군,35.66624373,128.7439211
경상북도 청송군,36.36984607,129.0359004
경상북도 칠곡군,36.01275074,128.4535926
경상북도 포항시,36.05085864,129.3593561
광주광역시,35.15072737,126.8678838
대구광역시,35.86890522,128.5955458
대구광역시 달성군,35.75562478,128.4698641
대전광역시,36.3476064,127.4017979
부산광역시,35.15156338,129.0450016
부산광역시 기장군,35.29083323,129.2077298
서울특별시,37.55173632,126.9893221
세종특별자치시 0,36.53813089,127.262746
세종특별자치시 nan,36.55290827,127.2662021
울산광역시,35.55150352,129.3648098
울산광역시 울주군,35.52305198,129.2106556
인천광역시,37.48265096,126.6777223
인천광역시 강화군,37.71695521,126.402372
인천광역시 옹진군,37.47345544,125.7977662
전라남도 강진군,34.62688994,126.7766907
전라남도 고흥군,34.61297923,127.3076756
전라남도 곡성군,35.22497576,127.2467112
전라남도 광양시,34.999528,127.6615662
전라남도 구례군,35.23477727,127.4819401
전라남도 나주시,34.99589043,126.7163533
전라남도 담양군,35.28305446,126.9869571
전라남도 목포시,34.79376608,126.3892398
전라남도 무안군,34.96302893,126.4242085
전라남도 보성군,34.81189174,127.1660181
전라남도 순천시,34.97486359,127.4106946
전라남도 신안군,34.78522352,126.0300557
전라남도 여수시,34.69730538,127.6632934
전라남도 영광군,35.28209588,126.4388084
전라남도 영암군,34.80688555,126.6362854
전라남도 완도군,34.28601174,126.7895377
전라남도 장성군,35.31299205,126.7626667
전라남도 장흥군,34.66907429,126.9293581
전라남도 진도군,34.42062676,126.1926429
전라남도 함평군,35.11181443,126.5391011
전라남도 해남군,34.55220906,126.5238717
전라남도 화순군,35.00763665,127.0139047
전라북도 고창군,35.44977772,126.6244258
전라북도 군산시,35.95913121,126.7165611
전라북도 김제시,35.80624841,126.9082766
전라북도 남원시,35.42276578,127.4143495
전라북도 무주군,35.94973372,127.7065909
전라북도 부안군,35.67750633,126.6565962
전라북도 순창군,35.41762675,127.097355
전라북도 완주군,35.91943222,127.1753875
전라북도 익산시,36.01229437,126.9818012
전라북도 임실군,35.59070994,127.2472473
전라북도 장수군,35.65794978,127.527198
전라북도 전주시,35.83215871,127.1208592
전라북도 정읍시,35.61478301,126.876807
전라북도 진안군,35.81900068,127.434867
제주특별자치도 서귀포시,33.29290499,126.5440615
제주특별자치도 제주시,33.48756769,126.4809345
충청남도 계룡시,36.27490669,127.2432201
충청남도 공주시,36.47029694,127.0785523
충청남도 금산군,36.12315722,127.4823353
충청남도 논산시,36.1974437,127.1359758
충청남도 당진시,36.880234,126.6762421
충청남도 보령시,36.33245005,126.5876474
충청남도 부여군,36.24351332,126.857888
충청남도 서산시,36.77747997,126.4755893
충청남도 서천군,36.0994177,126.7234068
충청남도 아산시,36.80756586,126.9776251
충청남도 예산군,36.67149977,126.7746809
충청남도 천안시,36.82996777,127.188137
충청남도 청양군,36.42787194,126.8508677
충청남도 태안군,36.72375044,126.2719052
충청남도 홍성군,36.56775632,126.6347215
충청북도 괴산군,36.78244848,127.8059136
충청북도 단양군,36.9857829,128.3560063
충청북도 보은군,36.48571952,127.7133187
충청북도 영동군,36.17631772,127.8079788
충청북도 옥천군,36.31876355,127.6519983
충청북도 음성군,36.97661205,127.598788
충청북도 제천시,37.06030594,128.1638961
충청북도 증평군,36.78795,127.5994404
충청북도 진천군,36.87391621,127.4512081
충청북도 청주시,36.62191511,127.4697827
충청북도 충주시,36.98436609,127.8566426
제주도,33.39023634,126.512498
